Jahr;Quartal;Monat;Hauptgruppen (WZ 08);Auftragseingang insgesamt (in 1000 EUR);Auftragseingang Ausland (in 1000 EUR);Auftragseingang Eurozone (in 1000 EUR);Umsatz insgesamt aus Auftragseingang (in 1000 EUR);Umsatz Ausland aus Auftragseingang (in 1000 EUR);Umsatz Eurozone aus Auftragseingang (in 1000 EUR)
2015;1. Quartal;02;B Investitionsgüter;94311;48548;10658;124414;77687;15954
2015;1. Quartal;02;GG Gebrauchsgüter;-;-;-;2136;-;-
2015;1. Quartal;02;VG Verbrauchsgüter;-;-;-;23933;-;-
2015;1. Quartal;02;Verarbeitendes Gewerbe gesamt;331432;221313;166255;508298;401376;320310
2015;1. Quartal;03;A+EN Vorleistungsgüter und Energie;235410;182237;145827;522008;-;-
2015;1. Quartal;03;B Investitionsgüter;118523;55558;10961;118839;60450;9374
2015;1. Quartal;03;GG Gebrauchsgüter;-;-;-;2526;-;-
2015;1. Quartal;03;VG Verbrauchsgüter;-;-;-;21361;-;-
2015;1. Quartal;03;Verarbeitendes Gewerbe gesamt;373591;248493;166562;664734;538368;462032
2015;2. Quartal;04;A+EN Vorleistungsgüter und Energie;231727;109564;91063;218050;110207;86853
2015;2. Quartal;04;B Investitionsgüter;159194;93956;9272;112961;61416;5404
2015;2. Quartal;04;GG Gebrauchsgüter;-;-;-;2673;-;-
2015;2. Quartal;04;VG Verbrauchsgüter;-;-;-;22320;-;-
2015;2. Quartal;04;Verarbeitendes Gewerbe gesamt;421438;217373;113490;356004;185507;104850
2015;2. Quartal;05;A+EN Vorleistungsgüter und Energie;292662;-;-;255110;-;-
2015;2. Quartal;05;B Investitionsgüter;96789;58713;9010;91639;43741;8008
2015;2. Quartal;05;GG Gebrauchsgüter;-;-;-;1561;-;-
2015;2. Quartal;05;VG Verbrauchsgüter;-;-;-;23818;-;-
2015;2. Quartal;05;Verarbeitendes Gewerbe gesamt;414040;243859;174625;372128;190081;132943
2015;2. Quartal;06;A+EN Vorleistungsgüter und Energie;269204;-;-;368868;-;-
2015;2. Quartal;06;B Investitionsgüter;106857;64434;12427;113764;58251;11374
2015;2. Quartal;06;GG Gebrauchsgüter;-;-;-;2405;-;-
2015;2. Quartal;06;VG Verbrauchsgüter;-;-;-;20778;12207;11383
2015;2. Quartal;06;Verarbeitendes Gewerbe gesamt;400737;256585;170475;505815;354023;279166
2015;3. Quartal;07;A+EN Vorleistungsgüter und Energie;296090;-;-;217735;-;-
2015;3. Quartal;07;B Investitionsgüter;129233;56888;13935;99425;45271;8546
2015;3. Quartal;07;GG Gebrauchsgüter;1249;-;-;2734;-;-
2015;3. Quartal;07;VG Verbrauchsgüter;19189;11342;11104;22901;-;-
2015;3. Quartal;07;Verarbeitendes Gewerbe gesamt;445761;266275;206928;342795;180726;119587
2015;3. Quartal;08;A+EN Vorleistungsgüter und Energie;293441;-;-;219976;-;-
2015;3. Quartal;08;B Investitionsgüter;102475;56205;3953;106843;64102;10026
2015;3. Quartal;08;GG Gebrauchsgüter;671;-;-;2238;-;-
2015;3. Quartal;08;VG Verbrauchsgüter;21040;-;-;24100;-;-
2015;3. Quartal;08;Verarbeitendes Gewerbe gesamt;417627;264954;188757;353156;196531;117101
2015;4. Quartal;09;A+EN Vorleistungsgüter und Energie;290250;-;-;364859;-;-
2015;4. Quartal;09;B Investitionsgüter;110451;57939;8796;113959;66445;12004
2015;4. Quartal;09;GG Gebrauchsgüter;-;-;-;3243;-;-
2015;4. Quartal;09;VG Verbrauchsgüter;-;-;-;24268;14546;13956
2015;4. Quartal;09;Verarbeitendes Gewerbe gesamt;427016;264308;195385;506328;345436;256116
2015;4. Quartal;10;A+EN Vorleistungsgüter und Energie;235135;-;-;189256;-;-
2015;4. Quartal;10;B Investitionsgüter;133441;81186;10301;91471;41548;8869
2015;4. Quartal;10;GG Gebrauchsgüter;-;-;-;1972;-;-
2015;4. Quartal;10;VG Verbrauchsgüter;-;-;-;26633;-;-
2015;4. Quartal;10;Verarbeitendes Gewerbe gesamt;392671;239404;149292;309332;149276;96250
2015;4. Quartal;11;A+EN Vorleistungsgüter und Energie;236305;147605;122469;268155;-;-
2015;4. Quartal;11;B Investitionsgüter;123047;81808;21005;111263;64365;13803
2015;4. Quartal;11;GG Gebrauchsgüter;-;-;-;2360;-;-
2015;4. Quartal;11;VG Verbrauchsgüter;-;-;-;23047;-;-
2015;4. Quartal;11;Verarbeitendes Gewerbe gesamt;387865;243560;156203;404825;255674;182804
2015;4. Quartal;12;A+EN Vorleistungsgüter und Energie;244119;-;-;463008;-;-
2015;4. Quartal;12;B Investitionsgüter;171259;75549;9070;115447;61015;10422
2015;4. Quartal;12;GG Gebrauchsgüter;1095;270;75;2399;-;-
2015;4. Quartal;12;VG Verbrauchsgüter;22821;-;-;23796;-;-
2015;4. Quartal;12;Verarbeitendes Gewerbe gesamt;439295;234089;146121;604650;440428;358438
2016;1. Quartal;01;A+EN Vorleistungsgüter und Energie;243623;143829;118993;171463;72981;52449
2016;1. Quartal;01;B Investitionsgüter;138745;91693;20354;76639;37056;8937
2016;1. Quartal;01;GG Gebrauchsgüter;1676;-;-;2404;-;-
2016;1. Quartal;01;VG Verbrauchsgüter;27918;-;-;28978;-;-
2016;1. Quartal;01;Verarbeitendes Gewerbe gesamt;411962;254669;157246;279484;128804;78637
2016;1. Quartal;02;A+EN Vorleistungsgüter und Energie;178583;94587;72830;235469;-;-
2016;1. Quartal;02;B Investitionsgüter;100155;58576;12015;86510;47811;10683
2016;1. Quartal;02;GG Gebrauchsgüter;2072;-;-;2477;-;-
2016;1. Quartal;02;VG Verbrauchsgüter;26926;-;-;26941;-;-
2016;1. Quartal;02;Verarbeitendes Gewerbe gesamt;307736;169845;100842;351396;221180;165687
2016;1. Quartal;03;A+EN Vorleistungsgüter und Energie;197036;98176;78137;248444;-;-
2016;1. Quartal;03;B Investitionsgüter;142646;80955;13882;106327;59487;10065
2016;1. Quartal;03;GG Gebrauchsgüter;1207;-;-;3347;-;-
2016;1. Quartal;03;VG Verbrauchsgüter;28676;-;-;29567;-;-
2016;1. Quartal;03;Verarbeitendes Gewerbe gesamt;369566;196596;108888;387685;233716;162491
2016;2. Quartal;04;A+EN Vorleistungsgüter und Energie;284487;184291;162907;197012;106745;87665
2016;2. Quartal;04;B Investitionsgüter;94817;50543;12207;88765;49402;11343
2016;2. Quartal;04;GG Gebrauchsgüter;-;-;-;-;-;-
2016;2. Quartal;04;VG Verbrauchsgüter;-;-;-;-;-;-
2016;2. Quartal;04;Verarbeitendes Gewerbe gesamt;412645;252015;191678;317078;175258;116691
2016;2. Quartal;05;A+EN Vorleistungsgüter und Energie;249685;-;-;226863;-;-
2016;2. Quartal;05;B Investitionsgüter;161498;111473;11017;90125;51774;9512
2016;2. Quartal;05;GG Gebrauchsgüter;1111;-;-;1339;-;-
2016;2. Quartal;05;VG Verbrauchsgüter;26578;-;-;27727;-;-
2016;2. Quartal;05;Verarbeitendes Gewerbe gesamt;438873;285852;165430;346055;204131;132709
2016;2. Quartal;06;A+EN Vorleistungsgüter und Energie;245104;-;-;257489;-;-
2016;2. Quartal;06;B Investitionsgüter;86913;45677;7917;113726;66754;14809
2016;2. Quartal;06;GG Gebrauchsgüter;-;-;-;2959;-;-
2016;2. Quartal;06;VG Verbrauchsgüter;-;-;-;29211;-;-
2016;2. Quartal;06;Verarbeitendes Gewerbe gesamt;362466;222157;161009;403385;259136;176535
2016;3. Quartal;07;A+EN Vorleistungsgüter und Energie;275279;-;-;192550;-;-
2016;3. Quartal;07;B Investitionsgüter;114496;24941;5680;74976;39058;8054
2016;3. Quartal;07;GG Gebrauchsgüter;1963;-;-;2270;-;-
2016;3. Quartal;07;VG Verbrauchsgüter;27753;-;-;27606;-;-
2016;3. Quartal;07;Verarbeitendes Gewerbe gesamt;419492;228683;186849;297402;163171;110378
2016;3. Quartal;08;A+EN Vorleistungsgüter und Energie;274952;-;-;246976;-;-
2016;3. Quartal;08;B Investitionsgüter;92864;60816;8365;79403;38217;9708
2016;3. Quartal;08;GG Gebrauchsgüter;-;-;-;2908;-;-
2016;3. Quartal;08;VG Verbrauchsgüter;-;-;-;27993;-;-
2016;3. Quartal;08;Verarbeitendes Gewerbe gesamt;397506;258125;188850;357280;210569;163624
2016;4. Quartal;09;A+EN Vorleistungsgüter und Energie;275905;178843;153020;278138;-;-
2016;4. Quartal;09;B Investitionsgüter;113277;81203;22399;120768;77951;6504
2016;4. Quartal;09;GG Gebrauchsgüter;-;-;-;2862;-;-
2016;4. Quartal;09;VG Verbrauchsgüter;-;-;-;30248;-;-
2016;4. Quartal;09;Verarbeitendes Gewerbe gesamt;419395;280134;194867;432016;282184;190500
2016;4. Quartal;10;A+EN Vorleistungsgüter und Energie;264094;-;-;214342;-;-
2016;4. Quartal;10;B Investitionsgüter;90358;43085;11242;90891;40146;9308
2016;4. Quartal;10;GG Gebrauchsgüter;2270;-;-;1926;-;-
2016;4. Quartal;10;VG Verbrauchsgüter;35871;-;-;35626;-;-
2016;4. Quartal;10;Verarbeitendes Gewerbe gesamt;392592;231301;180734;342785;190574;137547
2016;4. Quartal;11;A+EN Vorleistungsgüter und Energie;257968;-;-;285577;-;-
2016;4. Quartal;11;B Investitionsgüter;132740;83244;12154;115346;58174;18693
2016;4. Quartal;11;GG Gebrauchsgüter;-;-;-;2218;-;-
2016;4. Quartal;11;VG Verbrauchsgüter;-;-;-;37287;-;-
2016;4. Quartal;11;Verarbeitendes Gewerbe gesamt;434193;280101;187024;440429;281533;216273
2016;4. Quartal;12;A+EN Vorleistungsgüter und Energie;270455;-;-;243307;-;-
2016;4. Quartal;12;B Investitionsgüter;93263;43243;12210;131435;77846;16932
2016;4. Quartal;12;GG Gebrauchsgüter;-;-;-;1624;-;-
2016;4. Quartal;12;VG Verbrauchsgüter;-;-;-;41375;-;-
2016;4. Quartal;12;Verarbeitendes Gewerbe gesamt;405948;256887;203260;417741;262778;179311
2017;1. Quartal;01;A+EN Vorleistungsgüter und Energie;247819;156421;131567;239900;151408;130097
2017;1. Quartal;01;B Investitionsgüter;149325;109453;9388;75770;34263;8156
2017;1. Quartal;01;GG Gebrauchsgüter;-;-;-;2628;-;-
2017;1. Quartal;01;VG Verbrauchsgüter;-;-;-;28021;-;-
2017;1. Quartal;01;Verarbeitendes Gewerbe gesamt;425117;284663;158525;346319;204766;155608
2017;1. Quartal;02;A+EN Vorleistungsgüter und Energie;246591;-;-;227554;-;-
2017;1. Quartal;02;B Investitionsgüter;92371;53122;27236;82340;33676;11607
2017;1. Quartal;02;GG Gebrauchsgüter;-;-;-;2237;-;-
2017;1. Quartal;02;VG Verbrauchsgüter;-;-;-;30154;-;-
2017;1. Quartal;02;Verarbeitendes Gewerbe gesamt;368715;221592;178581;342285;188987;147039
2017;1. Quartal;03;A+EN Vorleistungsgüter und Energie;276994;166293;136829;281033;175350;147211
2017;1. Quartal;03;B Investitionsgüter;119166;40412;11929;102811;44079;13088
2017;1. Quartal;03;GG Gebrauchsgüter;-;-;-;2336;-;-
2017;1. Quartal;03;VG Verbrauchsgüter;-;-;-;31376;-;-
2017;1. Quartal;03;Verarbeitendes Gewerbe gesamt;431694;227034;168308;417555;239900;178505
2017;2. Quartal;04;A+EN Vorleistungsgüter und Energie;247672;-;-;225814;-;-
2017;2. Quartal;04;B Investitionsgüter;175152;120304;10282;99398;50774;12884
2017;2. Quartal;04;GG Gebrauchsgüter;1295;-;-;1442;-;-
2017;2. Quartal;04;VG Verbrauchsgüter;27551;-;-;27689;-;-
2017;2. Quartal;04;Verarbeitendes Gewerbe gesamt;451671;290926;160082;354343;201607;141172
2017;2. Quartal;05;A+EN Vorleistungsgüter und Energie;261386;-;-;226564;-;-
2017;2. Quartal;05;B Investitionsgüter;145155;82319;9431;123014;71407;19854
2017;2. Quartal;05;GG Gebrauchsgüter;1604;-;-;1453;-;-
2017;2. Quartal;05;VG Verbrauchsgüter;30921;-;-;31729;-;-
2017;2. Quartal;05;Verarbeitendes Gewerbe gesamt;439066;266905;173792;382759;219675;142426
2017;2. Quartal;06;A+EN Vorleistungsgüter und Energie;275910;165807;138777;188539;91640;66005
2017;2. Quartal;06;B Investitionsgüter;178427;120175;67819;125640;69843;17103
2017;2. Quartal;06;GG Gebrauchsgüter;1251;-;-;2465;-;-
2017;2. Quartal;06;VG Verbrauchsgüter;28279;-;-;29658;-;-
2017;2. Quartal;06;Verarbeitendes Gewerbe gesamt;483866;306036;225722;346302;183257;102263
2017;3. Quartal;07;A+EN Vorleistungsgüter und Energie;299417;-;-;224246;-;-
2017;3. Quartal;07;B Investitionsgüter;110487;66192;16619;119606;49355;15987
2017;3. Quartal;07;GG Gebrauchsgüter;1612;-;-;-;-;-
2017;3. Quartal;07;VG Verbrauchsgüter;25185;-;-;-;-;-
2017;3. Quartal;07;Verarbeitendes Gewerbe gesamt;436700;281029;204409;375805;202024;146406
2017;3. Quartal;08;A+EN Vorleistungsgüter und Energie;291936;-;-;249710;-;-
2017;3. Quartal;08;B Investitionsgüter;137265;70334;13479;124773;60306;15744
2017;3. Quartal;08;GG Gebrauchsgüter;458;-;-;-;-;-
2017;3. Quartal;08;VG Verbrauchsgüter;30922;-;-;-;-;-
2017;3. Quartal;08;Verarbeitendes Gewerbe gesamt;460580;281778;199480;407599;237451;164854
2017;4. Quartal;09;A+EN Vorleistungsgüter und Energie;279238;-;-;242237;-;-
2017;4. Quartal;09;B Investitionsgüter;225755;171216;70755;141656;78107;16839
2017;4. Quartal;09;GG Gebrauchsgüter;-;-;-;3061;-;-
2017;4. Quartal;09;VG Verbrauchsgüter;-;-;-;34205;-;-
2017;4. Quartal;09;Verarbeitendes Gewerbe gesamt;533971;386043;255535;421160;252939;147624
2017;4. Quartal;10;A+EN Vorleistungsgüter und Energie;256867;171569;139630;188639;108547;84020
2017;4. Quartal;10;B Investitionsgüter;125467;59567;18783;111812;57562;13614
2017;4. Quartal;10;GG Gebrauchsgüter;-;-;-;-;-;-
2017;4. Quartal;10;VG Verbrauchsgüter;-;-;-;-;-;-
2017;4. Quartal;10;Verarbeitendes Gewerbe gesamt;424106;262428;185396;338860;193271;123190
2017;4. Quartal;11;A+EN Vorleistungsgüter und Energie;261604;161667;131967;230595;135527;108553
2017;4. Quartal;11;B Investitionsgüter;127645;86613;20595;168653;99483;23994
2017;4. Quartal;11;GG Gebrauchsgüter;-;-;-;-;-;-
2017;4. Quartal;11;VG Verbrauchsgüter;-;-;-;-;-;-
2017;4. Quartal;11;Verarbeitendes Gewerbe gesamt;433270;281694;184290;442195;265697;161488
2017;4. Quartal;12;A+EN Vorleistungsgüter und Energie;249771;-;-;463210;-;-
2017;4. Quartal;12;B Investitionsgüter;156394;69783;23437;211024;144925;21761
2017;4. Quartal;12;GG Gebrauchsgüter;-;-;-;1827;-;-
2017;4. Quartal;12;VG Verbrauchsgüter;-;-;-;25513;-;-
2017;4. Quartal;12;Verarbeitendes Gewerbe gesamt;432001;229878;159555;701575;523556;368549
2018;1. Quartal;01;A+EN Vorleistungsgüter und Energie;258848;159112;128449;147119;53204;32630
2018;1. Quartal;01;B Investitionsgüter;135518;72936;19579;121363;54376;19061
2018;1. Quartal;01;GG Gebrauchsgüter;-;-;-;-;-;-
2018;1. Quartal;01;VG Verbrauchsgüter;-;-;-;-;-;-
2018;1. Quartal;01;Verarbeitendes Gewerbe gesamt;424222;252014;166431;301726;129789;71646
2018;1. Quartal;02;A+EN Vorleistungsgüter und Energie;255487;158859;127966;208850;120957;95898
2018;1. Quartal;02;B Investitionsgüter;116880;55252;14614;133816;74749;16647
2018;1. Quartal;02;GG Gebrauchsgüter;-;-;-;-;-;-
2018;1. Quartal;02;VG Verbrauchsgüter;-;-;-;-;-;-
2018;1. Quartal;02;Verarbeitendes Gewerbe gesamt;402611;235108;161628;374430;217416;132468
2018;1. Quartal;03;A+EN Vorleistungsgüter und Energie;264453;160521;129138;322659;-;-
2018;1. Quartal;03;B Investitionsgüter;148342;82774;20221;156373;98940;15950
2018;1. Quartal;03;GG Gebrauchsgüter;-;-;-;-;-;-
2018;1. Quartal;03;VG Verbrauchsgüter;-;-;-;-;-;-
2018;1. Quartal;03;Verarbeitendes Gewerbe gesamt;447070;264811;169295;512575;346261;232686
2018;2. Quartal;04;A+EN Vorleistungsgüter und Energie;265157;167008;137469;196422;95975;65059
2018;2. Quartal;04;B Investitionsgüter;113774;60551;26717;154490;96260;23707
2018;2. Quartal;04;GG Gebrauchsgüter;1133;-;-;-;-;-
2018;2. Quartal;04;VG Verbrauchsgüter;23927;-;-;-;-;-
2018;2. Quartal;04;Verarbeitendes Gewerbe gesamt;403991;244772;180671;378199;210586;105588
2018;2. Quartal;05;A+EN Vorleistungsgüter und Energie;264767;170807;138395;256662;165465;135613
2018;2. Quartal;05;B Investitionsgüter;134331;77466;25944;131646;78693;23195
2018;2. Quartal;05;GG Gebrauchsgüter;-;-;-;-;-;-
2018;2. Quartal;05;VG Verbrauchsgüter;-;-;-;-;-;-
2018;2. Quartal;05;Verarbeitendes Gewerbe gesamt;426924;267976;182378;419374;266118;178098
2018;2. Quartal;06;A+EN Vorleistungsgüter und Energie;275630;171556;137548;270071;172934;136019
2018;2. Quartal;06;B Investitionsgüter;190382;138859;16113;216920;158365;31621
2018;2. Quartal;06;GG Gebrauchsgüter;-;-;-;-;-;-
2018;2. Quartal;06;VG Verbrauchsgüter;-;-;-;-;-;-
2018;2. Quartal;06;Verarbeitendes Gewerbe gesamt;495156;331485;172952;519334;353613;188117
2018;3. Quartal;07;A+EN Vorleistungsgüter und Energie;241917;-;-;204031;-;-
2018;3. Quartal;07;B Investitionsgüter;117947;60855;14927;114985;66601;12476
2018;3. Quartal;07;GG Gebrauchsgüter;2902;-;-;-;-;-
2018;3. Quartal;07;VG Verbrauchsgüter;27671;-;-;-;-;-
2018;3. Quartal;07;Verarbeitendes Gewerbe gesamt;390438;219504;149480;350882;196185;113664
2018;3. Quartal;08;A+EN Vorleistungsgüter und Energie;228055;-;-;259609;-;-
2018;3. Quartal;08;B Investitionsgüter;139575;77455;18680;194129;109601;29057
2018;3. Quartal;08;GG Gebrauchsgüter;-;-;-;-;-;-
2018;3. Quartal;08;VG Verbrauchsgüter;-;-;-;-;-;-
2018;3. Quartal;08;Verarbeitendes Gewerbe gesamt;399924;234537;151032;485069;296809;184566
2018;4. Quartal;09;A+EN Vorleistungsgüter und Energie;236887;156765;122514;311038;220953;183469
2018;4. Quartal;09;B Investitionsgüter;120833;58789;18555;180070;93988;28319
2018;4. Quartal;09;GG Gebrauchsgüter;-;-;-;-;-;-
2018;4. Quartal;09;VG Verbrauchsgüter;-;-;-;-;-;-
2018;4. Quartal;09;Verarbeitendes Gewerbe gesamt;387816;236243;158642;521341;334897;229723
2018;4. Quartal;10;A+EN Vorleistungsgüter und Energie;241232;154010;124672;175230;85820;56462
2018;4. Quartal;10;B Investitionsgüter;143951;80109;19232;172805;98951;37946
2018;4. Quartal;10;GG Gebrauchsgüter;-;-;-;-;-;-
2018;4. Quartal;10;VG Verbrauchsgüter;-;-;-;-;-;-
2018;4. Quartal;10;Verarbeitendes Gewerbe gesamt;423413;262661;171063;390141;213595;120831
2018;4. Quartal;11;A+EN Vorleistungsgüter und Energie;257541;168706;126900;233723;146402;115755
2018;4. Quartal;11;B Investitionsgüter;149713;78796;27343;179741;112133;33416
2018;4. Quartal;11;GG Gebrauchsgüter;-;-;-;-;-;-
2018;4. Quartal;11;VG Verbrauchsgüter;-;-;-;-;-;-
2018;4. Quartal;11;Verarbeitendes Gewerbe gesamt;446123;275563;180343;454399;285680;174029
2018;4. Quartal;12;A+EN Vorleistungsgüter und Energie;235670;159131;121776;258127;180178;138939
2018;4. Quartal;12;B Investitionsgüter;195670;129116;49309;174359;85963;28955
2018;4. Quartal;12;GG Gebrauchsgüter;-;-;-;-;-;-
2018;4. Quartal;12;VG Verbrauchsgüter;-;-;-;-;-;-
2018;4. Quartal;12;Verarbeitendes Gewerbe gesamt;461240;309066;190920;463643;288136;188114
2019;1. Quartal;01;A+EN Vorleistungsgüter und Energie;246451;140434;97668;214722;113512;81389
2019;1. Quartal;01;B Investitionsgüter;180513;131695;38197;162945;113642;28356
2019;1. Quartal;01;GG Gebrauchsgüter;-;-;-;-;-;-
2019;1. Quartal;01;VG Verbrauchsgüter;-;-;-;-;-;-
2019;1. Quartal;01;Verarbeitendes Gewerbe gesamt;461453;294221;155505;411963;250486;130848
2019;1. Quartal;02;A+EN Vorleistungsgüter und Energie;210036;136657;100640;204411;128500;93756
2019;1. Quartal;02;B Investitionsgüter;144437;89160;28731;147959;91594;20327
2019;1. Quartal;02;GG Gebrauchsgüter;-;-;-;-;-;-
2019;1. Quartal;02;VG Verbrauchsgüter;-;-;-;-;-;-
2019;1. Quartal;02;Verarbeitendes Gewerbe gesamt;385930;246746;147838;383013;241224;132362
2019;1. Quartal;03;A+EN Vorleistungsgüter und Energie;232497;138170;99083;342695;-;-
2019;1. Quartal;03;B Investitionsgüter;169804;98479;19895;143585;82848;23466
2019;1. Quartal;03;GG Gebrauchsgüter;-;-;-;-;-;-
2019;1. Quartal;03;VG Verbrauchsgüter;-;-;-;-;-;-
2019;1. Quartal;03;Verarbeitendes Gewerbe gesamt;437400;257017;137468;519089;355863;253029
2019;2. Quartal;04;A+EN Vorleistungsgüter und Energie;217347;134794;96326;256561;180196;150288
2019;2. Quartal;04;B Investitionsgüter;195887;101021;30719;154522;97565;25541
2019;2. Quartal;04;GG Gebrauchsgüter;-;-;-;-;-;-
2019;2. Quartal;04;VG Verbrauchsgüter;-;-;-;-;-;-
2019;2. Quartal;04;Verarbeitendes Gewerbe gesamt;442520;254740;144561;442341;297528;192738
2019;2. Quartal;05;A+EN Vorleistungsgüter und Energie;215797;129879;94423;265364;175308;138325
