Stationsidentifikationsnummer;Datum;Jahr;Monat;Tag;Qualitätsniveau der nachfolgenden Spalten (QN_3);Tagesmaximum Windspitze;Tagesmittel Windgeschwindigkeit;Qualitätsniveau der nachfolgenden Spalten (QN_4);tägliche Niederschlagshöhe;Niederschlagsform;tägliche Sonnenscheindauer;Tageswert Schneehöhe;Tagesmittel des Bedeckungsgrades;Tagesmittel des Dampfdruckes;Tagesmittel des Luftdrucks;Tagesmittel der Temperatur;Tagesmittel der Relativen Feuchte;Tagesmaximum der Lufttemperatur in 2m Höhe;Tagesminimum der Lufttemperatur in 2m Höhe;Minimum der Lufttemperatur am Erdboden in 5cm Höhe
1048;19340111;1934;01;11;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;1;4,3;1005,3;-1,9;74;1,2;-3,7;-
1048;19340112;1934;01;12;-;-;-;1;7,9;nur Regen (in historischen Daten vor 1979);-;0;5;4;995,6;-2,8;75;-1,5;-4,6;-
1048;19340113;1934;01;13;-;-;-;1;3,1;nur Regen (in historischen Daten vor 1979);-;0;6;5,7;989,3;0,4;87;1,8;-3,8;-
1048;19340114;1934;01;14;-;-;-;1;3,5;nur Regen (in historischen Daten vor 1979);-;1;6;5,6;990,3;1,9;75;4,3;-0,5;-
1048;19340115;1934;01;15;-;-;-;1;2,9;"Regen und Schnee (und/oder Schneeregen); flüssiger und fester Niederschlag bei automatischen Stationen";-;0;6;6,7;981,6;4,2;77;6,6;-0,1;-
1048;19340116;1934;01;16;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;6;5,9;988,9;3,3;73;5,9;-0,9;-
1048;19340117;1934;01;17;-;-;-;1;0,6;nur Regen (in historischen Daten vor 1979);-;0;7;6,1;999,8;4,1;71;4,8;1,3;-
1048;19340118;1934;01;18;-;-;-;1;0,1;nur Regen (in historischen Daten vor 1979);-;0;8;8,9;990,4;9,6;75;11,6;3,1;-
1048;19340119;1934;01;19;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;4;7,7;990,2;7,6;67;11,8;3,8;-
1048;19340120;1934;01;20;-;-;-;1;0,5;"Regen und Schnee (und/oder Schneeregen); flüssiger und fester Niederschlag bei automatischen Stationen";-;0;6;5,6;1004,6;1,8;77;4,4;0,1;-
1048;19340121;1934;01;21;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;3;4,8;1021;-3,1;93;0,9;-5,6;-
1048;19340122;1934;01;22;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;0;4,3;1021,5;-1,4;73;2,6;-7,3;-
1048;19340123;1934;01;23;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;2;4,8;1019,5;-1;78;2,2;-6,6;-
1048;19340124;1934;01;24;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;0;4,5;1018,7;1,5;66;4,2;-6,6;-
1048;19340125;1934;01;25;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;0;3,9;1013,9;-0,1;60;6;-4,1;-
1048;19340126;1934;01;26;-;-;-;1;0,1;nur Regen (in historischen Daten vor 1979);-;0;3;4,1;1012,3;-1,5;69;4,3;-9;-
1048;19340127;1934;01;27;-;-;-;1;8,3;nur Regen (in historischen Daten vor 1979);-;0;7;6,1;1003,6;0,7;93;1,2;-2,7;-
1048;19340128;1934;01;28;-;-;-;1;1,9;"Regen und Schnee (und/oder Schneeregen); flüssiger und fester Niederschlag bei automatischen Stationen";-;0;8;6,5;1001;0,7;97;1,4;-0,5;-
1048;19340129;1934;01;29;-;-;-;1;0,1;"nur Schnee; fester Niederschlag bei automatischen Stationen";-;0;8;6,4;1009,2;0,6;95;1;0,2;-
1048;19340130;1934;01;30;-;-;-;1;3,7;"nur Schnee; fester Niederschlag bei automatischen Stationen";-;0;7;5,7;1010,6;-0,1;89;0,9;-2,5;-
1048;19340131;1934;01;31;-;-;-;1;0,7;"nur Schnee; fester Niederschlag bei automatischen Stationen";-;1;6;5,7;1001,9;-0,9;93;0,6;-2,5;-
1048;19340201;1934;02;01;-;-;-;1;0;"nur Schnee; fester Niederschlag bei automatischen Stationen";-;1;7;3,9;1003;-4,6;80;-1,6;-8,1;-
1048;19340202;1934;02;02;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;1;3;2,5;1015,6;-10,2;84;-5,2;-13,3;-
1048;19340203;1934;02;03;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;1;7;2,5;1010,5;-5,7;64;-2,6;-15,3;-
1048;19340204;1934;02;04;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;1;8;4,5;1008,5;-2;81;-0,8;-4,7;-
1048;19340205;1934;02;05;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;1;8;4,8;1007,1;-2,5;88;-1,8;-3,5;-
1048;19340206;1934;02;06;-;-;-;1;0,2;nur Regen (in historischen Daten vor 1979);-;1;8;5,7;1003,3;0,3;90;1,2;-3,2;-
1048;19340207;1934;02;07;-;-;-;1;0,6;nur Regen (in historischen Daten vor 1979);-;0;8;6,8;1002,5;3,4;83;4;0,6;-
1048;19340208;1934;02;08;-;-;-;1;2,3;"Regen und Schnee (und/oder Schneeregen); flüssiger und fester Niederschlag bei automatischen Stationen";-;0;7;6,4;989,9;2,6;82;4,5;0,6;-
1048;19340209;1934;02;09;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;4;5,7;1007,1;2,9;73;3,9;-0,8;-
1048;19340210;1934;02;10;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;4;6,1;1004,7;3,7;73;6;1,6;-
1048;19340211;1934;02;11;-;-;-;1;3,6;nur Regen (in historischen Daten vor 1979);-;0;8;6,4;1006,9;4,6;73;6;1,9;-
1048;19340212;1934;02;12;-;-;-;1;3,5;nur Regen (in historischen Daten vor 1979);-;0;4;7,2;1011,1;3;88;7,1;0;-
1048;19340213;1934;02;13;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;4;4,3;1026,6;-1;75;2,2;-6,5;-
1048;19340214;1934;02;14;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;0;3,7;1020,6;0,9;59;6,3;-7,8;-
1048;19340215;1934;02;15;-;-;-;1;0,4;nur Regen (in historischen Daten vor 1979);-;0;6;5,9;1015,5;1,4;84;2,9;-3,1;-
1048;19340216;1934;02;16;-;-;-;1;1;nur Regen (in historischen Daten vor 1979);-;0;8;6,9;1017,1;2,1;96;2,6;0;-
1048;19340217;1934;02;17;-;-;-;1;0,3;nur Regen (in historischen Daten vor 1979);-;0;8;7,6;1015,4;3,8;92;4,3;2;-
1048;19340218;1934;02;18;-;-;-;1;2,1;nur Regen (in historischen Daten vor 1979);-;0;8;7,6;1013,6;3,7;92;4,3;2,6;-
1048;19340219;1934;02;19;-;-;-;1;0,1;nur Regen (in historischen Daten vor 1979);-;0;8;6,7;1007,6;3,6;81;4,5;1,1;-
1048;19340220;1934;02;20;-;-;-;1;11;"Regen und Schnee (und/oder Schneeregen); flüssiger und fester Niederschlag bei automatischen Stationen";-;0;8;6,3;997,7;2,2;81;5,2;-0,2;-
1048;19340221;1934;02;21;-;-;-;1;6,5;"Regen und Schnee (und/oder Schneeregen); flüssiger und fester Niederschlag bei automatischen Stationen";-;20;8;6;1000,6;0,4;93;1,3;-2,3;-
1048;19340222;1934;02;22;-;-;-;1;0,2;nur Regen (in historischen Daten vor 1979);-;0;8;7,2;1006;3,7;87;4,7;0;-
1048;19340223;1934;02;23;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;4;6,9;1006,7;4,8;76;7,8;2,5;-
1048;19340224;1934;02;24;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;0;6,5;1000,9;3,3;80;12,6;-1,6;-
1048;19340225;1934;02;25;-;-;-;1;1,5;nur Regen (in historischen Daten vor 1979);-;0;7;7,2;997,6;5,8;77;11,9;-1,5;-
1048;19340226;1934;02;26;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;7;8;990,5;7,3;75;13,5;2;-
1048;19340227;1934;02;27;-;-;-;1;6,1;"Regen und Schnee (und/oder Schneeregen); flüssiger und fester Niederschlag bei automatischen Stationen";-;0;6;7,2;981,5;5,1;79;8,9;2;-
1048;19340228;1934;02;28;-;-;-;1;4,3;nur Regen (in historischen Daten vor 1979);-;3;8;6,5;985,4;1,2;96;5,4;-0,1;-
1048;19340301;1934;03;01;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;8;6,3;992,6;2,1;84;2,7;-0,2;-
1048;19340302;1934;03;02;-;-;-;1;0,3;nur Regen (in historischen Daten vor 1979);-;0;8;7,3;992,8;3;91;4,6;0,9;-
1048;19340303;1934;03;03;-;-;-;1;1,7;nur Regen (in historischen Daten vor 1979);-;0;8;7,2;997,7;3,7;87;5,2;2;-
1048;19340304;1934;03;04;-;-;-;1;0,6;nur Regen (in historischen Daten vor 1979);-;0;5;6,5;1003,7;0,9;91;5,4;-1,2;-
1048;19340305;1934;03;05;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;4;5,2;999,4;2,2;71;6,8;-3,7;-
1048;19340306;1934;03;06;-;-;-;1;0,5;nur Regen (in historischen Daten vor 1979);-;0;5;5,1;990,2;4,9;59;9,3;-1,3;-
1048;19340307;1934;03;07;-;-;-;1;0,2;nur Regen (in historischen Daten vor 1979);-;0;4;6,7;982,4;4,6;74;9,2;2,2;-
1048;19340308;1934;03;08;-;-;-;1;0,4;"Regen und Schnee (und/oder Schneeregen); flüssiger und fester Niederschlag bei automatischen Stationen";-;0;4;5,9;991,8;2,6;74;6,2;-0,4;-
1048;19340309;1934;03;09;-;-;-;1;0,6;nur Regen (in historischen Daten vor 1979);-;0;6;5,5;990,6;4,1;63;8,4;-1,1;-
1048;19340310;1934;03;10;-;-;-;1;5,3;"Regen und Schnee (und/oder Schneeregen); flüssiger und fester Niederschlag bei automatischen Stationen";-;0;7;6,5;989;4,2;78;7,7;1;-
1048;19340311;1934;03;11;-;-;-;1;1,4;nur Regen (in historischen Daten vor 1979);-;0;8;8;980,2;5,4;86;7,6;1,8;-
1048;19340312;1934;03;12;-;-;-;1;2,9;nur Regen (in historischen Daten vor 1979);-;0;5;7,7;972,4;9,9;64;13,7;5;-
1048;19340313;1934;03;13;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;7;7,5;979,1;7,3;69;11,5;4,3;-
1048;19340314;1934;03;14;-;-;-;1;0,1;nur Regen (in historischen Daten vor 1979);-;0;3;6,4;981,7;8;57;14;2,6;-
1048;19340315;1934;03;15;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;3;6,9;976,2;7,8;66;12,2;1,9;-
1048;19340316;1934;03;16;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;4;6;980,9;5,7;63;10,8;1,6;-
1048;19340317;1934;03;17;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;4;5,7;973,2;5;65;9,5;-3,3;-
1048;19340318;1934;03;18;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;6;6;974,6;6,6;58;13;3,6;-
1048;19340319;1934;03;19;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;3;5,7;989,2;3,8;65;9,4;1,2;-
1048;19340320;1934;03;20;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;7;6,1;988,4;8,2;56;14,3;-3,8;-
1048;19340321;1934;03;21;-;-;-;1;2;nur Regen (in historischen Daten vor 1979);-;0;7;8,5;991,3;7,1;83;11;1,7;-
1048;19340322;1934;03;22;-;-;-;1;1,4;nur Regen (in historischen Daten vor 1979);-;0;7;8,4;995,2;7,1;80;11,1;5,4;-
1048;19340323;1934;03;23;-;-;-;1;1;nur Regen (in historischen Daten vor 1979);-;0;8;8,1;1000,8;5,8;84;9,6;1,4;-
1048;19340324;1934;03;24;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;7;8,8;1002,4;5,6;91;8,9;3,9;-
1048;19340325;1934;03;25;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;7;8;1002,2;6,2;80;10,7;1,3;-
1048;19340326;1934;03;26;-;-;-;1;0,5;nur Regen (in historischen Daten vor 1979);-;0;8;7,5;1001;4,7;85;5,9;1,2;-
1048;19340327;1934;03;27;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;4;5,9;1002,8;2,7;75;7,7;-0,7;-
1048;19340328;1934;03;28;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;6;5,7;996,6;3,6;73;6,8;-4,1;-
1048;19340329;1934;03;29;-;-;-;1;0,1;nur Regen (in historischen Daten vor 1979);-;0;5;8,3;988,6;6,2;84;11,3;2,3;-
1048;19340330;1934;03;30;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;6;9,1;989,5;7,3;85;13,5;0,2;-
1048;19340331;1934;03;31;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;5;8,8;994,7;10;72;14,7;4,9;-
1048;19340401;1934;04;01;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;2;6,9;996;6,8;70;13,9;0,3;-
1048;19340402;1934;04;02;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;0;6,4;998;6,6;62;14,5;-0,5;-
1048;19340403;1934;04;03;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;1;4,9;1001;5,2;53;14,4;-2,4;-
1048;19340404;1934;04;04;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;2;5,9;995,7;5,3;66;11,4;-4;-
1048;19340405;1934;04;05;-;-;-;1;0,9;"Regen und Schnee (und/oder Schneeregen); flüssiger und fester Niederschlag bei automatischen Stationen";-;0;5;6,7;987,8;1,6;90;6,4;-1,3;-
1048;19340406;1934;04;06;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;0;6;990;5,1;68;12,7;-4,5;-
1048;19340407;1934;04;07;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;0;7,1;987,8;9,1;65;15,8;-3,2;-
1048;19340408;1934;04;08;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;2;9,7;985,2;10,6;72;14,9;7,9;-
1048;19340409;1934;04;09;-;-;-;1;11,4;nur Regen (in historischen Daten vor 1979);-;0;6;10,1;979;13,4;66;20,8;5;-
1048;19340410;1934;04;10;-;-;-;1;20,3;nur Regen (in historischen Daten vor 1979);-;0;8;9,7;985;6,9;94;12,9;6;-
1048;19340411;1934;04;11;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;5;8;994;4,6;90;7,1;2,9;-
1048;19340412;1934;04;12;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;0;7,9;994;9,3;71;18,2;-0,9;-
1048;19340413;1934;04;13;-;-;-;1;1;nur Regen (in historischen Daten vor 1979);-;0;8;9,9;1001,5;8,8;84;13;4,6;-
1048;19340414;1934;04;14;-;-;-;1;1;nur Regen (in historischen Daten vor 1979);-;0;5;11,1;1001,6;11,9;80;17,9;6,1;-
1048;19340415;1934;04;15;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;7;12,7;1004,1;13,7;81;19,7;7,3;-
1048;19340416;1934;04;16;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;4;12,8;1001,6;18,2;64;26,6;7,8;-
1048;19340417;1934;04;17;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;3;12,1;994,4;19,7;56;29,1;9,6;-
1048;19340418;1934;04;18;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;3;10,8;988;20,7;43;26,3;15,6;-
1048;19340419;1934;04;19;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;6;8,4;995,3;12,7;55;18,8;8,4;-
1048;19340420;1934;04;20;-;-;-;1;1,6;nur Regen (in historischen Daten vor 1979);-;0;6;8,8;995,5;13,4;58;17,4;6,5;-
1048;19340421;1934;04;21;-;-;-;1;0,6;nur Regen (in historischen Daten vor 1979);-;0;4;8;999,4;9,3;66;14,6;7,5;-
1048;19340422;1934;04;22;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;5;8,8;987,6;14,4;54;18,8;1,3;-
1048;19340423;1934;04;23;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;7;9,7;977,3;12,8;63;17,6;9,6;-
1048;19340424;1934;04;24;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;5;8,1;982,3;10,8;62;15;9,1;-
1048;19340425;1934;04;25;-;-;-;1;0,8;nur Regen (in historischen Daten vor 1979);-;0;5;9,6;985,5;10,9;72;15,3;1,8;-
1048;19340426;1934;04;26;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;8;10,1;988,3;10,8;80;15,8;4,6;-
1048;19340427;1934;04;27;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;5;9,5;993,4;13,9;64;20,8;6,2;-
1048;19340428;1934;04;28;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;4;10,4;997,2;14,4;65;24,7;3,8;-
1048;19340429;1934;04;29;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;1;11,9;998,9;16,6;66;23,1;7;-
1048;19340430;1934;04;30;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;1;12,3;994,6;19,4;58;26,4;9,8;-
1048;19340501;1934;05;01;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;5;11,3;992,4;19;54;28,2;9,1;-
1048;19340502;1934;05;02;-;-;-;1;3,8;nur Regen (in historischen Daten vor 1979);-;0;7;12,5;991,9;18,7;59;26,7;9;-
1048;19340503;1934;05;03;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;5;12,5;990,1;20,8;55;25,1;9,6;-
1048;19340504;1934;05;04;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;6;11,9;988,2;20,6;48;25,7;17;-
1048;19340505;1934;05;05;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;6;12,8;997,3;17,4;65;22;12,9;-
1048;19340506;1934;05;06;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;6;14,5;1000,1;17,7;73;23,7;11,9;-
1048;19340507;1934;05;07;-;-;-;1;1;nur Regen (in historischen Daten vor 1979);-;0;5;13,2;999,3;17,3;69;25,4;9,3;-
1048;19340508;1934;05;08;-;-;-;1;3,2;nur Regen (in historischen Daten vor 1979);-;0;8;11,1;1010,3;9,8;89;17,2;8,6;-
1048;19340509;1934;05;09;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;7;11,2;1011,5;12,4;79;15,6;8,4;-
1048;19340510;1934;05;10;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;2;14,4;1011;17,3;73;25,2;9,7;-
1048;19340511;1934;05;11;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;1;12,3;1009,3;18,4;59;26,1;9,4;-
1048;19340512;1934;05;12;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;1;10,4;1003,4;18,7;50;25,6;9,2;-
1048;19340513;1934;05;13;-;-;-;1;1,2;nur Regen (in historischen Daten vor 1979);-;0;3;11,7;993,3;18,5;63;28,4;7,4;-
1048;19340514;1934;05;14;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;6;8,7;989,2;13,9;56;19,3;11;-
1048;19340515;1934;05;15;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;5;7,1;992,8;8,1;63;14,8;5,1;-
1048;19340516;1934;05;16;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;1;6,9;986,6;16,1;40;21,7;-0,8;-
1048;19340517;1934;05;17;-;-;-;1;0,3;nur Regen (in historischen Daten vor 1979);-;0;7;10,8;987,8;14,5;64;20,1;11,2;-
1048;19340518;1934;05;18;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;7;8;997,7;11,7;60;15,6;6,7;-
1048;19340519;1934;05;19;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;7;9,6;999,9;14,1;60;17,6;9,7;-
1048;19340520;1934;05;20;-;-;-;1;1,6;nur Regen (in historischen Daten vor 1979);-;0;4;10,5;1002,1;17,5;54;24,5;9;-
1048;19340521;1934;05;21;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;5;10,3;1004,9;18,1;51;22;12,2;-
1048;19340522;1934;05;22;-;-;-;1;1,2;nur Regen (in historischen Daten vor 1979);-;0;5;12;1003,2;19,1;55;23,7;15,9;-
1048;19340523;1934;05;23;-;-;-;1;0,8;nur Regen (in historischen Daten vor 1979);-;0;5;9,5;1001,4;14,1;55;19,8;11,1;-
1048;19340524;1934;05;24;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;7;7,2;1001,7;10,2;58;15;5,6;-
1048;19340525;1934;05;25;-;-;-;1;1,1;nur Regen (in historischen Daten vor 1979);-;0;7;6,7;1000;10,9;54;15,3;5,9;-
1048;19340526;1934;05;26;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;6;8,9;998,5;8,1;80;14,3;5,8;-
1048;19340527;1934;05;27;-;-;-;1;1,3;nur Regen (in historischen Daten vor 1979);-;0;7;6,7;1001,9;8,6;61;13,6;3,1;-
1048;19340528;1934;05;28;-;-;-;1;4,4;nur Regen (in historischen Daten vor 1979);-;0;7;10,1;999,3;11,2;76;15;6,5;-
1048;19340529;1934;05;29;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;5;8,1;1001,4;9,7;66;13,4;7,9;-
1048;19340530;1934;05;30;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;1;7,5;1003,9;12,3;54;18,6;-0,5;-
1048;19340531;1934;05;31;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;0;8,1;1002,8;17,1;45;22,8;1,8;-
1048;19340601;1934;06;01;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;1;8,4;1002,5;20,6;36;26,5;5,2;-
1048;19340602;1934;06;02;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;4;11,2;1000,6;23,1;42;28,4;9,1;-
1048;19340603;1934;06;03;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;4;9,9;994;19,4;45;26,2;14,2;-
1048;19340604;1934;06;04;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;5;10,7;990,8;15,3;64;21,2;10,7;-
1048;19340605;1934;06;05;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;6;8,4;990;11,7;61;16,2;8;-
1048;19340606;1934;06;06;-;-;-;1;0;Niederschlagshöhe ausschließlich aus flüssigen abgesetzten Niederschlag;-;0;2;7,2;992,2;15,1;45;20,9;4,9;-
1048;19340607;1934;06;07;-;-;-;1;1,2;nur Regen (in historischen Daten vor 1979);-;0;6;10,5;998,7;14,7;62;19,8;5,1;-
1048;19340608;1934;06;08;-;-;-;1;0;nur Regen (in historischen Daten vor 1979);-;0;4;10,3;1002,1;15,3;59;21,5;10,6;-
1048;19340609;1934;06;09;-;-;-;1;6,6;nur Regen (in historischen Daten vor 1979);-;0;7;11,7;1002,6;14,3;73;20,9;7;-
