Jahr;Stadtraum;Grundmiete;Grundmiete - Whg mit Bad und IWC;Betriebskosten - kalt;Betriebskosten - warm
2002;14 Mockritz, Coschütz, Plauen;5;5;1,8;1,2
2002;15 Cotta, Löbtau, Naußlitz, Dölzschen;5,1;5,1;1,3;0,9
2002;16 Gorbitz;3,6;3,6;1,4;0,9
2002;17 Briesnitz und westliche OS;5,1;5,1;1,2;0,9
2002;18 Dresden gesamt;4,8;4,8;1,4;1
2005;01 StB Altstadt ohne Johannstadt;4,9;4,9;1,3;0,9
2005;02 Johannstadt;4,8;4,8;1,3;1
2005;03 StB Neustadt ohne Leipziger Vorstadt;5,1;5,1;1,4;1,1
2005;04 Leipziger Vorstadt, Pieschen;4,8;4,9;1,2;1,1
2005;05 Mickten, Kaditz, Trachau;5,1;5,1;1,2;1
2005;06 StB Klotzsche und nördliche OS;5;5;1,3;1,1
2005;07 StB Loschwitz und OS Schönfeld-Weißig;5,4;5,4;1,5;1
2005;08 Blasewitz, Striesen;5,5;5,5;1,3;1
2005;09 Tolkewitz, Seidnitz, Gruna;5;5,1;1,2;1
2005;10 StB Leuben;5,2;5,2;1,2;1
2005;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);4,6;4,6;1,4;1
2005;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);5;5;1,1;1
2005;13 Südvorstadt, Zschertnitz;4,7;4,7;1,2;0,9
2005;14 Mockritz, Coschütz, Plauen;5,4;5,4;1,3;1
2005;15 Cotta, Löbtau, Naußlitz, Dölzschen;5,1;5,2;1,3;1,1
2005;16 Gorbitz;4,2;4,2;1,5;1
2005;17 Briesnitz und westliche OS;5,5;5,5;1,4;1,1
2005;18 Dresden gesamt;5;5;1,3;1
2007;01 StB Altstadt ohne Johannstadt;4,8;4,9;1,1;1
2007;02 Johannstadt;4,7;4,7;1,1;1
2007;03 StB Neustadt ohne Leipziger Vorstadt;5,1;5,2;1,1;1,1
2007;04 Leipziger Vorstadt, Pieschen;4,9;5;1,1;1,1
2007;05 Mickten, Kaditz, Trachau;5,2;5,2;1;1,1
2007;06 StB Klotzsche und nördliche OS;5,2;5,2;1,1;1,2
2007;07 StB Loschwitz und OS Schönfeld-Weißig;5,6;5,7;1,1;1,2
2007;08 Blasewitz, Striesen;5,5;5,6;1,1;1
2007;09 Tolkewitz, Seidnitz, Gruna;5;5;1,1;1
2007;10 StB Leuben;5,1;5,1;1,1;1
2007;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);4,5;4,5;1,1;1
2007;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);5,1;5,1;1,2;1,1
2007;13 Südvorstadt, Zschertnitz;4,9;4,9;1,1;1
2007;14 Mockritz, Coschütz, Plauen;5,3;5,4;1,1;1
2007;15 Cotta, Löbtau, Naußlitz, Dölzschen;5,1;5,2;1,2;1,1
2007;16 Gorbitz;4,1;4,1;1,3;1,1
2007;17 Briesnitz und westliche OS;5;5;1,1;1,1
2007;18 Dresden gesamt;5;5;1,1;1
2010;01 StB Altstadt ohne Johannstadt;5;5;1,1;1,1
2010;02 Johannstadt;5,2;5,1;1,1;1
2010;03 StB Neustadt ohne Leipziger Vorstadt;5,4;5,4;1,2;1,1
2010;04 Leipziger Vorstadt, Pieschen;5,2;5,2;1,1;1,2
2010;05 Mickten, Kaditz, Trachau;5,2;5,2;1,1;1
2010;06 StB Klotzsche und nördliche OS;5,1;5,2;1,1;1,2
2010;07 StB Loschwitz und OS Schönfeld-Weißig;5,9;5,8;1,1;1,1
2010;08 Blasewitz, Striesen;5,6;5,7;1,1;1,1
2010;09 Tolkewitz, Seidnitz, Gruna;5,1;5,1;1,1;1
2010;10 StB Leuben;5,2;5;1,1;1
2010;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);5,1;5,1;1,1;1,1
2010;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);5,4;5,3;1,2;1,1
2010;13 Südvorstadt, Zschertnitz;5,2;5,2;1,2;1,1
2010;14 Mockritz, Coschütz, Plauen;5,6;5,5;1,1;1,1
2010;15 Cotta, Löbtau, Naußlitz, Dölzschen;5,4;5,4;1,2;1,1
2010;16 Gorbitz;4,5;4,4;1,2;1,1
2010;17 Briesnitz und westliche OS;5,4;5,6;1;1
2010;18 Dresden gesamt;5,3;5,3;1,1;1,1
2012;01 StB Altstadt ohne Johannstadt;5,4;5,5;1,1;1,1
2012;02 Johannstadt;5,4;5,4;1,2;1
2012;03 StB Neustadt ohne Leipziger Vorstadt;5,7;5,7;1,3;1,1
2012;04 Leipziger Vorstadt, Pieschen;5,6;5,6;1,2;1
2012;05 Mickten, Kaditz, Trachau;5,5;5,2;1;1,1
2012;06 StB Klotzsche und nördliche OS;5,2;5,1;1,2;1,1
2012;07 StB Loschwitz und OS Schönfeld-Weißig;6,2;6,2;1,3;1,2
2012;08 Blasewitz, Striesen;5,8;5,8;1,1;1,1
2012;09 Tolkewitz, Seidnitz, Gruna;5,4;5,2;1,1;1,1
2012;10 StB Leuben;5,4;5,4;1,2;1,1
2012;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);5;5;1,2;1,2
2012;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);5,6;5,6;1,1;1,2
2012;13 Südvorstadt, Zschertnitz;5,3;5,3;1,1;1,1
2012;14 Mockritz, Coschütz, Plauen;5,6;5,6;1,2;1,2
2012;15 Cotta, Löbtau, Naußlitz, Dölzschen;5,4;5,4;1,2;1,2
2012;16 Gorbitz;4,7;4,9;1,3;1,1
2012;17 Briesnitz und westliche OS;5,6;5,2;1;1,1
2012;18 Dresden gesamt;5,4;5,4;1,2;1,1
2014;01 StB Altstadt ohne Johannstadt;5,5;5,5;1,2;1,2
2014;02 Johannstadt;5,6;5,7;1,1;1
2014;03 StB Neustadt ohne Leipziger Vorstadt;6,1;6,1;1,2;1,3
2014;04 Leipziger Vorstadt, Pieschen;5,6;5,6;1,1;1,2
2014;05 Mickten, Kaditz, Trachau;5,7;6,1;1,1;1,2
2014;06 StB Klotzsche und nördliche OS;6;5,8;1,2;1,1
2014;07 StB Loschwitz und OS Schönfeld-Weißig;6,2;6,2;1,2;1,2
2014;08 Blasewitz, Striesen;6,1;6,3;1,2;1,2
2014;09 Tolkewitz, Seidnitz, Gruna;5,6;5,6;1,1;1,1
2014;10 StB Leuben;5,6;5,6;1,1;1,2
2014;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);5,1;5,3;1,2;1,2
2014;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);5,8;6;1,2;1,2
2014;13 Südvorstadt, Zschertnitz;5,6;5,6;1,2;1,2
2014;14 Mockritz, Coschütz, Plauen;5,5;5,9;1,2;1,2
2014;15 Cotta, Löbtau, Naußlitz, Dölzschen;5,8;6;1,2;1,2
2014;16 Gorbitz;4,8;4,7;1,3;1,3
2014;17 Briesnitz und westliche OS;5,7;5,9;1,1;1,2
2014;18 Dresden gesamt;5,7;5,8;1,2;1,2
2016;01 StB Altstadt ohne Johannstadt;6;5,8;1,2;1,1
2016;02 Johannstadt;5,9;6,1;1,2;1,1
2016;03 StB Neustadt ohne Leipziger Vorstadt;6,2;6,1;1,2;1,2
2016;04 Leipziger Vorstadt, Pieschen;6;6,2;1,1;1,1
2016;05 Mickten, Kaditz, Trachau;6;5,9;1,1;1,1
2016;06 StB Klotzsche und nördliche OS;6;6;1;1,1
2016;07 StB Loschwitz und OS Schönfeld-Weißig;6,6;6,8;1,1;1,2
2016;08 Blasewitz, Striesen;6,3;6,3;1,2;1,2
2016;09 Tolkewitz, Seidnitz, Gruna;5,7;5,7;1,2;1,1
2016;10 StB Leuben;5,6;5,6;1,2;1,1
2016;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);5,2;5,2;1,2;1,2
2016;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);6,2;6,2;1,1;1,1
2016;13 Südvorstadt, Zschertnitz;5,9;5,7;1,2;1,2
2016;14 Mockritz, Coschütz, Plauen;6,1;6,4;1,2;1,2
2016;15 Cotta, Löbtau, Naußlitz, Dölzschen;6,1;5,8;1,2;1,1
2016;16 Gorbitz;5,1;5;1,2;1,2
2016;17 Briesnitz und westliche OS;6,3;6,4;1,1;1,2
2016;18 Dresden gesamt;6;6;1,2;1,1
2018;01 StB Altstadt ohne Johannstadt;6,8;6,4;1,2;1,2
2018;02 Johannstadt;6,2;6,1;1,2;1,1
2018;03 StB Neustadt ohne Leipziger Vorstadt;6,8;6,9;1,3;1,3
2018;04 Leipziger Vorstadt, Pieschen;6,6;6,6;1,2;1,2
2018;05 Mickten, Kaditz, Trachau;6,1;5,9;1,2;1,2
2018;06 StB Klotzsche und nördliche OS;6,4;6,1;1,1;1,1
2018;07 StB Loschwitz und OS Schönfeld-Weißig;7;6,8;1,3;1,1
2018;08 Blasewitz, Striesen;6,8;6,9;1,2;1,2
2018;09 Tolkewitz, Seidnitz, Gruna;6,1;6,1;1,2;1,1
2018;10 StB Leuben;6;6,1;1,3;1,2
2018;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);5,7;5,4;1,3;1,2
2018;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);6,7;6,8;1,2;1,1
2018;13 Südvorstadt, Zschertnitz;6,6;6,5;1,3;1,1
2018;14 Mockritz, Coschütz, Plauen;6,6;6,7;1,3;1,2
2018;15 Cotta, Löbtau, Naußlitz, Dölzschen;6,5;6,5;1,1;1,1
2018;16 Gorbitz;5,5;5,1;1,3;1,1
2018;17 Briesnitz und westliche OS;6,7;7,5;1,2;1,2
2018;18 Dresden gesamt;6,4;6,4;1,2;1,2
2020;01 StB Altstadt ohne Johannstadt;7;7;1,3;1,2
2020;02 Johannstadt;6,4;6,4;1,3;1,1
2020;03 StB Neustadt ohne Leipziger Vorstadt;7,4;7,5;1,3;1,2
2020;04 Leipziger Vorstadt, Pieschen;6,9;6,9;1,2;1,1
2020;05 Mickten, Kaditz, Trachau;6,5;6,5;1,2;0,9
2020;06 StB Klotzsche und nördliche OS;6,8;6,6;1,3;1
2020;07 StB Loschwitz und OS Schönfeld-Weißig;7,1;7,5;1,3;1,2
2020;08 Blasewitz, Striesen;7,2;7,3;1,3;1,1
2020;09 Tolkewitz, Seidnitz, Gruna;6,5;6,4;1,3;1,1
2020;10 StB Leuben;6,3;6,1;1,2;1,2
2020;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);5,9;5,9;1,4;1,1
2020;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);6,8;6,7;1,2;1,2
2020;13 Südvorstadt, Zschertnitz;6,8;7;1,4;1,1
2020;14 Mockritz, Coschütz, Plauen;7;6,6;1,3;1
2020;15 Cotta, Löbtau, Naußlitz, Dölzschen;6,8;6,6;1,2;1,1
2020;16 Gorbitz;6;5,8;1,3;1,1
2020;17 Briesnitz und westliche OS;6,6;6,6;1,2;1,1
2020;18 Dresden gesamt;6,8;6,7;1,3;1,1
2022;01 StB Altstadt ohne Johannstadt;7,8;0;1,7;1,2
2022;02 Johannstadt;7,1;0;1,2;1
2022;03 StB Neustadt ohne Leipziger Vorstadt;7,6;0;1,4;1,2
2022;04 Leipziger Vorstadt, Pieschen;7,4;0;1,4;1,2
2022;05 Mickten, Kaditz, Trachau;7;0;1,3;1,1
2022;06 StB Klotzsche und nördliche OS;7,1;0;1,4;1,1
2022;07 StB Loschwitz und OS Schönfeld-Weißig;7,5;0;1,4;1,1
2022;08 Blasewitz, Striesen;7,4;0;1,5;1,2
2022;09 Tolkewitz, Seidnitz, Gruna;6,6;0;1,5;1,2
2022;10 StB Leuben;6,6;0;1,4;1,1
2022;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);6;0;1,5;1,2
2022;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);6,9;0;1,4;1,2
2022;13 Südvorstadt, Zschertnitz;7,2;0;1,3;1
2022;14 Mockritz, Coschütz, Plauen;7,1;0;1,4;1,1
2022;15 Cotta, Löbtau, Naußlitz, Dölzschen;7,1;0;1,5;1,3
2022;16 Gorbitz;6,2;0;1,4;1,1
2022;17 Briesnitz und westliche OS;7;0;1,4;1,2
2022;18 Dresden gesamt;7,1;0;1,4;1,1
2024;01 StB Altstadt ohne Johannstadt;8,4;0;1,6;1,6
2024;02 Johannstadt;7,6;0;1,6;1,6
2024;03 StB Neustadt ohne Leipziger Vorstadt;7,9;0;1,6;1,8
2024;04 Leipziger Vorstadt, Pieschen;7,9;0;1,5;1,4
2024;05 Mickten, Kaditz, Trachau;7,6;0;1,5;1,4
2024;06 StB Klotzsche und nördliche OS;7,4;0;1,6;1,6
2024;07 StB Loschwitz und OS Schönfeld-Weißig;8;0;1,8;1,6
2024;08 Blasewitz, Striesen;7,9;0;1,5;1,5
2024;09 Tolkewitz, Seidnitz, Gruna;6,9;0;1,5;1,6
2024;10 StB Leuben;7,2;0;1,7;1,6
2024;11 Prohlis, Reick (mit Sternhäuser, Am Koitschgraben);6,6;0;1,8;1,8
2024;12 Niedersedlitz, Leubnitz, Strehlen (ohne Sternhäuser, Am Koitschgraben);7,7;0;1,6;1,7
2024;13 Südvorstadt, Zschertnitz;7,5;0;1,6;1,8
2024;14 Mockritz, Coschütz, Plauen;7,6;0;1,5;1,4
2024;15 Cotta, Löbtau, Naußlitz, Dölzschen;7,8;0;1,5;1,4
2024;16 Gorbitz;6,6;0;1,7;1,7
2024;17 Briesnitz und westliche OS;7,5;0;1,3;1,3
2024;18 Dresden gesamt;7,6;0;1,6;1,6
